Province_State,Country_Region,Lat,Long,Date,Year,Month,Confirmed,Deaths,Recovered
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-06 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-07 00:00:00,2020,July,3.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-08 00:00:00,2020,July,1.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-09 00:00:00,2020,July,1.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-10 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-11 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-12 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-13 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-14 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-15 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-16 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-17 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-18 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-19 00:00:00,2020,July,0.0,0.0,2.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-20 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-21 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-22 00:00:00,2020,July,0.0,0.0,2.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-23 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-24 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-25 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-26 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-27 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-28 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-29 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-30 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-31 00:00:00,2020,July,0.0,0.0,1.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-01 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-02 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-03 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-04 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-05 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-06 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-07 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-08 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-09 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-10 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-11 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-12 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-13 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-14 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-15 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-16 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-17 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-18 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-19 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-20 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-21 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-22 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-23 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-24 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-25 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-26 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-27 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-28 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-29 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-30 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-08-31 00:00:00,2020,August,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-01 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-02 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-03 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-04 00:00:00,2020,September,0.0,0.0,0.0
