Province_State,Country_Region,Lat,Long,Date,Confirmed
Australian Capital Territory,Australia,-35.4735,149.0124,11/19/2020,115
Australian Capital Territory,Australia,-35.4735,149.0124,11/20/2020,115
Australian Capital Territory,Australia,-35.4735,149.0124,11/21/2020,115
Australian Capital Territory,Australia,-35.4735,149.0124,11/22/2020,115
Australian Capital Territory,Australia,-35.4735,149.0124,11/23/2020,115
Australian Capital Territory,Australia,-35.4735,149.0124,11/24/2020,115
Australian Capital Territory,Australia,-35.4735,149.0124,11/25/2020,115
Australian Capital Territory,Australia,-35.4735,149.0124,11/26/2020,116
Australian Capital Territory,Australia,-35.4735,149.0124,11/27/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,11/28/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,11/29/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,11/30/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,12/1/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,12/2/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,12/3/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,12/4/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,12/5/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,12/6/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,12/7/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,12/8/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,12/9/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,12/10/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,12/11/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,12/12/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,12/13/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,12/14/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,12/15/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,12/16/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,12/17/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,12/18/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,12/19/2020,117
Australian Capital Territory,Australia,-35.4735,149.0124,12/20/2020,118
Australian Capital Territory,Australia,-35.4735,149.0124,12/21/2020,118
Australian Capital Territory,Australia,-35.4735,149.0124,12/22/2020,118
Australian Capital Territory,Australia,-35.4735,149.0124,12/23/2020,118
Australian Capital Territory,Australia,-35.4735,149.0124,12/24/2020,118
Australian Capital Territory,Australia,-35.4735,149.0124,12/25/2020,118
Australian Capital Territory,Australia,-35.4735,149.0124,12/26/2020,118
Australian Capital Territory,Australia,-35.4735,149.0124,12/27/2020,118
Australian Capital Territory,Australia,-35.4735,149.0124,12/28/2020,118
Australian Capital Territory,Australia,-35.4735,149.0124,12/29/2020,118
Australian Capital Territory,Australia,-35.4735,149.0124,12/30/2020,118
Australian Capital Territory,Australia,-35.4735,149.0124,12/31/2020,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/1/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/2/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/3/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/4/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/5/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/6/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/7/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/8/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/9/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/10/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/11/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/12/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/13/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/14/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/15/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/16/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/17/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/18/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/19/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/20/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/21/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/22/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/23/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/24/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/25/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/26/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/27/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/28/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/29/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/30/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,1/31/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/1/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/2/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/3/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/4/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/5/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/6/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/7/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/8/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/9/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/10/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/11/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/12/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/13/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/14/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/15/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/16/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/17/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/18/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/19/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/20/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/21/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/22/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/23/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/24/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/25/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/26/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/27/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,2/28/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,3/1/2021,118
Australian Capital Territory,Australia,-35.4735,149.0124,3/2/2021,120
Australian Capital Territory,Australia,-35.4735,149.0124,3/3/2021,120
