Country_Region,Lat,Long,Population,Date,Vaccinations
Albania,41.1533,20.1683,2877800,4/6/2021,221588
Albania,41.1533,20.1683,2877800,4/7/2021,232379
Albania,41.1533,20.1683,2877800,4/8/2021,242542
Albania,41.1533,20.1683,2877800,4/9/2021,250676
Albania,41.1533,20.1683,2877800,4/10/2021,256810
Albania,41.1533,20.1683,2877800,4/11/2021,256810
Albania,41.1533,20.1683,2877800,4/12/2021,267531
Albania,41.1533,20.1683,2877800,4/13/2021,281216
Albania,41.1533,20.1683,2877800,4/14/2021,281216
Albania,41.1533,20.1683,2877800,4/15/2021,304488
Albania,41.1533,20.1683,2877800,4/16/2021,314622
Albania,41.1533,20.1683,2877800,4/17/2021,324840
Albania,41.1533,20.1683,2877800,4/18/2021,332905
Albania,41.1533,20.1683,2877800,4/19/2021,345934
Albania,41.1533,20.1683,2877800,4/20/2021,350000
Albania,41.1533,20.1683,2877800,4/21/2021,372075
Albania,41.1533,20.1683,2877800,4/22/2021,382998
Albania,41.1533,20.1683,2877800,4/23/2021,391351
Albania,41.1533,20.1683,2877800,4/24/2021,400064
Albania,41.1533,20.1683,2877800,4/25/2021,400064
Albania,41.1533,20.1683,2877800,4/26/2021,408619
Albania,41.1533,20.1683,2877800,4/27/2021,416855
Albania,41.1533,20.1683,2877800,4/28/2021,433628
Albania,41.1533,20.1683,2877800,4/29/2021,453248
Albania,41.1533,20.1683,2877800,4/30/2021,476903
Albania,41.1533,20.1683,2877800,5/1/2021,494028
Albania,41.1533,20.1683,2877800,5/2/2021,494028
Albania,41.1533,20.1683,2877800,5/3/2021,517501
Albania,41.1533,20.1683,2877800,5/4/2021,537387
Albania,41.1533,20.1683,2877800,5/5/2021,556584
Albania,41.1533,20.1683,2877800,5/6/2021,572226
Albania,41.1533,20.1683,2877800,5/7/2021,585693
Albania,41.1533,20.1683,2877800,5/8/2021,596766
Albania,41.1533,20.1683,2877800,5/9/2021,596766
Albania,41.1533,20.1683,2877800,5/10/2021,596766
Albania,41.1533,20.1683,2877800,5/11/2021,596766
Albania,41.1533,20.1683,2877800,5/12/2021,596766
Albania,41.1533,20.1683,2877800,5/13/2021,632676
Albania,41.1533,20.1683,2877800,5/14/2021,653330
Albania,41.1533,20.1683,2877800,5/15/2021,653330
Albania,41.1533,20.1683,2877800,5/16/2021,653330
Albania,41.1533,20.1683,2877800,5/17/2021,680083
Albania,41.1533,20.1683,2877800,5/18/2021,680083
Albania,41.1533,20.1683,2877800,5/19/2021,688947
Albania,41.1533,20.1683,2877800,5/20/2021,703743
Albania,41.1533,20.1683,2877800,5/21/2021,703743
Albania,41.1533,20.1683,2877800,5/22/2021,708846
Albania,41.1533,20.1683,2877800,5/23/2021,708846
Albania,41.1533,20.1683,2877800,5/24/2021,725135
Albania,41.1533,20.1683,2877800,5/25/2021,725135
Albania,41.1533,20.1683,2877800,5/26/2021,748986
Albania,41.1533,20.1683,2877800,5/27/2021,759043
Albania,41.1533,20.1683,2877800,5/28/2021,759043
Albania,41.1533,20.1683,2877800,5/29/2021,759043
Albania,41.1533,20.1683,2877800,5/30/2021,772204
Albania,41.1533,20.1683,2877800,5/31/2021,776461
Albania,41.1533,20.1683,2877800,6/1/2021,780342
Albania,41.1533,20.1683,2877800,6/2/2021,780342
Albania,41.1533,20.1683,2877800,6/3/2021,787321
Albania,41.1533,20.1683,2877800,6/4/2021,787321
Albania,41.1533,20.1683,2877800,6/5/2021,787321
Albania,41.1533,20.1683,2877800,6/6/2021,798624
Albania,41.1533,20.1683,2877800,6/7/2021,803682
Albania,41.1533,20.1683,2877800,6/8/2021,803682
Albania,41.1533,20.1683,2877800,6/9/2021,816556
Albania,41.1533,20.1683,2877800,6/10/2021,816556
Albania,41.1533,20.1683,2877800,6/11/2021,823053
Albania,41.1533,20.1683,2877800,6/12/2021,830281
Albania,41.1533,20.1683,2877800,6/13/2021,834868
Albania,41.1533,20.1683,2877800,6/14/2021,836430
Albania,41.1533,20.1683,2877800,6/15/2021,842535
Albania,41.1533,20.1683,2877800,6/16/2021,842535
Albania,41.1533,20.1683,2877800,6/17/2021,862628
Albania,41.1533,20.1683,2877800,6/18/2021,862628
Albania,41.1533,20.1683,2877800,6/19/2021,862628
Albania,41.1533,20.1683,2877800,6/20/2021,862628
Albania,41.1533,20.1683,2877800,6/21/2021,890052
Albania,41.1533,20.1683,2877800,6/22/2021,890052
Albania,41.1533,20.1683,2877800,6/23/2021,901429
Albania,41.1533,20.1683,2877800,6/24/2021,901429
Albania,41.1533,20.1683,2877800,6/25/2021,922886
Albania,41.1533,20.1683,2877800,6/26/2021,922886
Albania,41.1533,20.1683,2877800,6/27/2021,922886
Albania,41.1533,20.1683,2877800,6/28/2021,943439
Albania,41.1533,20.1683,2877800,6/29/2021,943439
Albania,41.1533,20.1683,2877800,6/30/2021,955498
Albania,41.1533,20.1683,2877800,7/1/2021,974486
Albania,41.1533,20.1683,2877800,7/2/2021,974486
Albania,41.1533,20.1683,2877800,7/3/2021,974486
