Country_Region,Lat,Long,Date,Recovered
Afghanistan,33.93911,67.709953,11/23/2020,35976
Afghanistan,33.93911,67.709953,11/24/2020,36122
Afghanistan,33.93911,67.709953,11/25/2020,36145
Afghanistan,33.93911,67.709953,11/26/2020,36232
Afghanistan,33.93911,67.709953,11/27/2020,36295
Afghanistan,33.93911,67.709953,11/28/2020,36709
Afghanistan,33.93911,67.709953,11/29/2020,36716
Afghanistan,33.93911,67.709953,11/30/2020,36831
Afghanistan,33.93911,67.709953,12/1/2020,36946
Afghanistan,33.93911,67.709953,12/2/2020,37218
Afghanistan,33.93911,67.709953,12/3/2020,37260
Afghanistan,33.93911,67.709953,12/4/2020,37260
Afghanistan,33.93911,67.709953,12/5/2020,37393
Afghanistan,33.93911,67.709953,12/6/2020,37685
Afghanistan,33.93911,67.709953,12/7/2020,37879
Afghanistan,33.93911,67.709953,12/8/2020,37920
Afghanistan,33.93911,67.709953,12/9/2020,38032
Afghanistan,33.93911,67.709953,12/10/2020,38099
Afghanistan,33.93911,67.709953,12/11/2020,38141
Afghanistan,33.93911,67.709953,12/12/2020,38200
Afghanistan,33.93911,67.709953,12/13/2020,38250
Afghanistan,33.93911,67.709953,12/14/2020,38252
Afghanistan,33.93911,67.709953,12/15/2020,38336
Afghanistan,33.93911,67.709953,12/16/2020,38475
Afghanistan,33.93911,67.709953,12/17/2020,38505
Afghanistan,33.93911,67.709953,12/18/2020,38540
Afghanistan,33.93911,67.709953,12/19/2020,38613
Afghanistan,33.93911,67.709953,12/20/2020,39006
Afghanistan,33.93911,67.709953,12/21/2020,39508
Afghanistan,33.93911,67.709953,12/22/2020,39585
Afghanistan,33.93911,67.709953,12/23/2020,39692
Afghanistan,33.93911,67.709953,12/24/2020,40359
Afghanistan,33.93911,67.709953,12/25/2020,40444
Afghanistan,33.93911,67.709953,12/26/2020,40784
Afghanistan,33.93911,67.709953,12/27/2020,41096
Afghanistan,33.93911,67.709953,12/28/2020,41441
Afghanistan,33.93911,67.709953,12/29/2020,41543
Afghanistan,33.93911,67.709953,12/30/2020,41612
Afghanistan,33.93911,67.709953,12/31/2020,41727
Afghanistan,33.93911,67.709953,1/1/2021,41727
Afghanistan,33.93911,67.709953,1/2/2021,41727
Afghanistan,33.93911,67.709953,1/3/2021,41727
Afghanistan,33.93911,67.709953,1/4/2021,42530
Afghanistan,33.93911,67.709953,1/5/2021,42666
Afghanistan,33.93911,67.709953,1/6/2021,42666
Afghanistan,33.93911,67.709953,1/7/2021,43291
Afghanistan,33.93911,67.709953,1/8/2021,43440
Afghanistan,33.93911,67.709953,1/9/2021,43740
Afghanistan,33.93911,67.709953,1/10/2021,43948
Afghanistan,33.93911,67.709953,1/11/2021,44137
Afghanistan,33.93911,67.709953,1/12/2021,44608
Afghanistan,33.93911,67.709953,1/13/2021,44850
Afghanistan,33.93911,67.709953,1/14/2021,45298
Afghanistan,33.93911,67.709953,1/15/2021,45434
Afghanistan,33.93911,67.709953,1/16/2021,45465
